id,key,type,value
137131858,power,regular,tower
137131862,power,regular,tower
137131865,power,regular,tower
137131869,power,regular,tower
137131872,power,regular,tower
137131875,power,regular,tower
137131878,power,regular,tower
137131881,power,regular,tower
137131883,power,regular,tower
137131905,power,regular,tower
137131907,power,regular,tower
137131913,power,regular,tower
137131919,power,regular,tower
137131930,power,regular,tower
137131937,power,regular,tower
137134138,highway,regular,turning_circle
137134149,highway,regular,turning_circle
137134159,highway,regular,turning_circle
137134718,ref,regular,3A
137134718,highway,regular,motorway_junction
137134718,old_ref,regular,3
137134729,highway,regular,traffic_signals
137138345,ref,regular,75
137138345,highway,regular,motorway_junction
137139180,highway,regular,turning_circle
137139186,source,regular,Bing
137139186,highway,regular,turning_circle
137139195,source,regular,Bing
137139195,highway,regular,turning_circle
137139204,source,regular,Bing
137139204,highway,regular,turning_circle
137139209,highway,regular,turning_circle
137142941,power,regular,tower
137142944,power,regular,tower
137142946,power,regular,tower
137142949,power,regular,tower
137142950,power,regular,tower
137142953,power,regular,tower
137142956,power,regular,tower
137142959,power,regular,tower
137142973,power,regular,tower
137142974,power,regular,tower
137143022,highway,regular,turning_circle
137143535,ref,regular,46
137143535,exit_to,regular,Cheyenne Avenue
137143535,highway,regular,motorway_junction
137143631,power,regular,tower
137143638,power,regular,tower
137143647,power,regular,tower
137143660,power,regular,tower
137143663,power,regular,tower
137144453,ref,regular,80
137144453,highway,regular,motorway_junction
137144865,highway,regular,turning_circle
137144877,highway,regular,turning_circle
137146168,ref,regular,44
137146168,exit_to,regular,Washington Avenue
137146168,highway,regular,motorway_junction
137146228,railway,regular,level_crossing
137146228,bell,crossing,no
137146228,light,crossing,no
137146228,barrier,crossing,no
137146691,ref,regular,84
137146691,highway,regular,motorway_junction
137147010,highway,regular,turning_circle
137147078,highway,regular,turning_circle
137147084,highway,regular,turning_circle
137148296,highway,regular,turning_circle
137148307,highway,regular,turning_circle
137148317,highway,regular,turning_circle
137148663,noexit,regular,yes
137148692,railway,regular,level_crossing
137148743,ref,regular,58
137148743,exit_to,regular,NV-604;Apex:Nellis AFB
137148743,highway,regular,motorway_junction
137148795,source,regular,Bing
137148795,highway,regular,traffic_signals
137151032,highway,regular,motorway_junction
137151032,left,exit_to,US-95 North;Reno
137151032,right,exit_to,Martin L King Boulevard
137151040,highway,regular,motorway_junction
137151040,left,exit_to,I-515;US-93;US-95 South;Phoenix;Downtown Las Vegas
137151040,right,exit_to,US-95 North;Reno;Martin L King Boulevard
137151291,source,regular,Bing
137151291,highway,regular,turning_circle
137151313,source,regular,Bing
137151313,highway,regular,turning_circle
137151319,highway,regular,turning_circle
137151329,source,regular,Bing
137151329,highway,regular,turning_circle
137151404,highway,regular,turning_circle
137152254,railway,regular,level_crossing
137152258,railway,regular,level_crossing
137152461,ref,regular,42B
137152461,highway,regular,motorway_junction
137153240,highway,regular,turning_circle
137153240,source,regular,Bing
137153247,highway,regular,turning_circle
137153247,source,regular,Bing
137153586,ref,regular,46
137153586,exit_to,regular,Cheyenne Avenue
137153586,highway,regular,motorway_junction
137154591,highway,regular,traffic_signals
137155436,power,regular,tower
137155442,power,regular,tower
137155444,power,regular,tower
137155447,power,regular,tower
137155453,power,regular,tower
137155459,power,regular,tower
137155461,power,regular,tower
137157052,ref,regular,80
137157052,highway,regular,motorway_junction
137157097,source,regular,Bing
137157097,highway,regular,turning_circle
137157107,source,regular,Bing
137157107,highway,regular,turning_circle
137158654,highway,regular,turning_circle
137161577,barrier,regular,lift_gate
137163243,railway,regular,level_crossing
137164379,highway,regular,turning_circle
137164379,source,regular,Bing
137165223,noexit,regular,yes
137165536,highway,regular,traffic_signals
137165747,power,regular,tower
137165749,power,regular,tower
137165750,power,regular,tower
137165754,power,regular,tower
137165760,power,regular,tower
137165762,power,regular,tower
137165766,power,regular,tower
137165768,power,regular,tower
137165770,power,regular,tower
137165772,power,regular,tower
137166013,highway,regular,turning_circle
137166780,power,regular,tower
137166783,power,regular,tower
137166785,power,regular,tower
137166787,power,regular,tower
137166792,power,regular,tower
137167065,ref,regular,80
137167065,highway,regular,motorway_junction
137167455,highway,regular,turning_circle
137167455,source,regular,Bing
137167732,highway,regular,turning_circle
137170562,highway,regular,turning_circle
137171543,power,regular,tower
137171545,power,regular,tower
137172837,power,regular,tower
137174467,highway,regular,turning_circle
137175765,ref,regular,69
137175765,highway,regular,motorway_junction
137176754,highway,regular,turning_circle
137176794,highway,regular,turning_circle
137180237,ref,regular,12
137180237,highway,regular,motorway_junction
137183871,ref,regular,54
